cid,targets,cnDesc,basicTypes
SO02529262,['has_site'],哺乳动物细胞衍生物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02522780,"['antibiotic', 'costly_medicine']",左氧氟沙星氯化钠注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529128,[],C肽阴性糖尿病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00000340,"['has_site', 'combo_concept', 'diagnosis']",乳酸性酸中毒,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529084,['has_site'],盐酸坦索罗辛过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529117,[],严重低钾血症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529049,[],正变力性治疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00149392,[],沙奎那韦,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00001045,['has_site'],先天性氨基酸代谢缺陷,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00103764,"['has_site', 'chronic_disease', 'combo_concept']",Alpers综合征,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00001298,"['has_site', 'chronic_disease', 'combo_concept', 'complaint', 'diagnosis']",心绞痛,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00136029,"['has_site', 'combo_concept', 'diagnosis']",肠狭窄,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02121080,['therapeutic_procedure'],超短波治疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00540104,['has_site'],血流动力学不稳定,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01615538,['costly_medicine'],尼膜同,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}, {'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529223,[],严重低血压,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529231,[],β-内酰胺酶抑制剂过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00060985,['costly_medicine'],易善复,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02144963,[],红外线治疗器,"[{'enBasicType': 'ProcedureDevice', 'cnBasicType': '医疗器械'}]"
SO02528983,[],坐位平衡障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00815744,['costly_medicine'],盐酸曲美他嗪,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO01534253,"['has_site', 'combo_concept', 'diagnosis']",前列腺增生,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00338330,['has_site'],普鲁卡因胺过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00496059,"['antibiotic', 'costly_medicine']",莫西沙星,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02544987,[],正压顺序循环疗法,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00654760,[],Glasgow昏迷评分发现,"[{'enBasicType': 'Exam', 'cnBasicType': '检查手段'}]"
SO02529132,[],奥卡西平过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
