"enabled","deleted","cr_time","up_time","comment","id","cid1","rel","cid2","rela","source","is_source"
1,0,"2022-05-05 12:12:31","2022-11-03 18:59:15","fangkankan 2022-05-05 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",79552631,SO00089889,RO,SO02157212,operation_has_contraindication_with_operation,康复技术规范-卫生部发,SRT
1,0,"2022-05-05 12:12:31","2022-11-03 18:59:14","fangkankan 2022-05-05 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",79552632,SO00089889,RO,SO00021485,operation_has_contraindication_with_operation,康复技术规范-卫生部发,SRT
1,1,"2022-06-24 12:18:50","2022-11-03 18:16:37","fangkankan 2022-11-03 update deleted from [0] to [1], update is_source from [SRT] to [999] for the [general] project, the reason is [update relation];
fangkankan 2022-06-24 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95241876,SO00002786,RO,SO00270089,operation_has_contraindication_with_operation,SRT,"999"
1,1,"2022-06-24 12:18:50","2022-11-03 18:16:37","fangkankan 2022-11-03 update deleted from [0] to [1], update is_source from [SRT] to [999] for the [general] project, the reason is [update relation];
fangkankan 2022-06-24 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95241877,SO00248851,RO,SO00270089,operation_has_contraindication_with_operation,SRT,"999"
1,1,"2022-06-24 12:18:50","2022-11-03 18:16:37","fangkankan 2022-11-03 update deleted from [0] to [1], update is_source from [SRT] to [999] for the [general] project, the reason is [update relation];
fangkankan 2022-06-24 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95241878,SO00117637,RO,SO00270089,operation_has_contraindication_with_operation,SRT,"999"
1,0,"2022-06-24 12:18:50","2022-06-24 12:18:50","fangkankan 2022-06-24 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95241879,SO00494781,RO,SO02528961,operation_has_contraindication_with_operation,SRT,SRT
1,1,"2022-06-24 12:18:50","2022-11-03 18:16:37","fangkankan 2022-11-03 update deleted from [0] to [1], update is_source from [SRT] to [999] for the [general] project, the reason is [update relation];
fangkankan 2022-06-24 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95241880,SO00494781,RO,SO00270089,operation_has_contraindication_with_operation,SRT,"999"
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242221,SO02244494,RO,SO00581545,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242222,SO02517047,RO,SO01569096,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242223,SO02529147,RO,SO02000051,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242224,SO00009674,RO,SO01569096,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242225,SO00815227,RO,SO02416469,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242226,SO02244494,RO,SO00612746,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242227,SO02517047,RO,SO01536350,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242228,SO02529080,RO,SO01569096,operation_has_contraindication_with_operation,SRT,SRT
1,0,"2022-07-07 14:10:11","2022-07-07 14:10:11","fangkankan 2022-07-07 bulk insert con relation for the [general] project, the reason is [bulk insert relations];
",95242229,SO00104384,RO,SO01569096,operation_has_contraindication_with_operation,SRT,SRT
